Vehicle_ID,In_Out,Filename_ID,Frame_Number_0_index,Frames_Seen,Frames_Since_Last_Detection_Event,Time_of_Detection (s),Time_Seen (s),Time_Since_Last_Detection_Event (s),Vehicle_Type,Angle,Angle_Degrees,Speed_Px_Per_Frame,Speed_Px_Per_Second,Event_Center_X,Event_Center_Y,Video_Length (s),Video_Total_Frames,Video_Fps,Filename,Output_Video,Estimated_Lanes_In,Estimated_Lanes_Out,Estimated_Lanes_Method,Estimated_Lanes_kmax,Estimated_Lanes
10009,Out,2,7,7,7,0.2355792090909091,0.20192503636363637,0.2355792090909091,car,[          0           1],90.0,0.5,14.856998686371188,205.5,86.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
10001,Out,2,22,22,22,0.7403918,0.7067376272727273,0.7403918,car,[    0.89443    -0.44721],-26.56505117707799,2.23606797749979,66.44251800870211,726.5,283.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
92,In,2,31,7,7,1.0432793545454546,0.20192503636363637,0.2355792090909091,car,[    -0.5547     0.83205],123.69006752597979,7.211102550927978,214.27068225284978,382.0,422.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
10004,Out,2,55,55,55,1.8509795,1.8173253272727274,1.8509795,car,[   -0.70711     0.70711],135.0,1.4142135623730951,42.02193807685079,255.5,85.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
10010,Out,2,92,90,92,3.096183890909091,2.995221372727273,3.096183890909091,car,[    0.85749     -0.5145],-30.96375653207352,2.9154759474226504,86.63044464201022,732.0,282.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
171,In,2,105,7,7,3.5336881363636365,0.20192503636363637,0.2355792090909091,car,[          0           1],90.0,6.0,178.28398423645427,228.0,423.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
10007,Out,2,122,122,122,4.105809072727273,4.0721549,4.105809072727273,car,[    0.85166     -0.5241],-31.6075022462489,7.632168761236874,226.7822425197189,725.0,381.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
92,Out,2,146,122,115,4.913509218181819,4.0721549,3.870229863636364,car,[   -0.44721     0.89443],116.56505117707799,1.118033988749895,33.221259004351055,257.5,85.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
238,In,2,172,7,7,5.788517709090909,0.20192503636363637,0.2355792090909091,car,[   -0.54076     0.84118],122.7352262721076,8.32165848854662,247.26973846553355,377.5,420.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
10006,Out,2,189,189,189,6.360638645454546,6.326984472727273,6.360638645454546,car,[        0.8        -0.6],-36.86989764584402,2.5,74.28499343185594,725.5,275.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
171,Out,2,219,121,114,7.370263827272727,4.038500727272727,3.836575690909091,car,[          0           1],90.0,1.5,44.57099605911357,210.0,86.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
281,In,2,249,7,7,8.37988900909091,0.20192503636363637,0.2355792090909091,car,[   -0.66896     0.74329],131.98721249581666,6.726812023536855,199.88047479430594,383.5,422.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
10008,Out,2,252,252,252,8.480851527272728,8.447197354545455,8.480851527272728,car,[    0.98058    -0.19612],-11.309932474020213,2.5495097567963922,75.75612621522906,728.0,283.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
238,Out,2,283,118,111,9.524130881818182,3.9375382090909095,3.735613172727273,car,[   -0.70711     0.70711],135.0,1.4142135623730951,42.02193807685079,254.0,85.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,2.534916194283076
310,In,2,298,8,8,10.028943472727272,0.2355792090909091,0.26923338181818185,car,[   -0.70711     0.70711],135.0,5.656854249492381,168.08775230740315,400.0,422.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
333,In,2,319,6,6,10.7356811,0.16827086363636365,0.20192503636363637,car,[  -0.071247     0.99746],94.08561677997488,7.0178344238090995,208.5279136314046,222.0,424.0,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
261,In,2,321,129,130,10.802989445454546,4.30773410909091,4.375042454545455,car,[    0.44721    -0.89443],-63.43494882292201,1.118033988749895,33.221259004351055,431.5,85.5,11.072222827272729,330,29.713997372742377,road_video_2.mp4,road_video_2_tracked.mp4,3.5079297994760936,2.534916194283076,kmeans_inertia_curvature,15,3.5079297994760936
